Pseudo-terminal will not be allocated because stdin is not a terminal.
Allocated port 6 for remote forward to localhost:1999
You are not authenticated.
Your tunnel will expire in 60 minutes. Upgrade to Pinggy Pro to get unrestricted tunnels. https://dashboard.pinggy.io
http://bjnwj-154-159-237-80.run.pinggy-free.link
http://zecvc-154-159-237-80.free.pinggy.net
https://bjnwj-154-159-237-80.run.pinggy-free.link
https://zecvc-154-159-237-80.free.pinggy.net

RB: 0, SB: 0, TC: 0, AC: 4294967295               
RB: 0, SB: 0, TC: 1, AC: 0               
RB: 0, SB: 0, TC: 1, AC: 4294967295               
RB: 0, SB: 0, TC: 2, AC: 0               
RB: 0, SB: 0, TC: 2, AC: 4294967295               
RB: 0, SB: 0, TC: 3, AC: 0               
RB: 0, SB: 0, TC: 3, AC: 4294967295               
RB: 0, SB: 0, TC: 4, AC: 0               
RB: 0, SB: 0, TC: 4, AC: 4294967295               
RB: 0, SB: 0, TC: 5, AC: 0               
RB: 0, SB: 0, TC: 5, AC: 4294967295               
RB: 0, SB: 0, TC: 6, AC: 0               
RB: 0, SB: 0, TC: 6, AC: 4294967295               
RB: 0, SB: 0, TC: 7, AC: 0               
RB: 0, SB: 0, TC: 7, AC: 4294967295               
RB: 0, SB: 0, TC: 8, AC: 0               
RB: 0, SB: 0, TC: 8, AC: 4294967295               
RB: 0, SB: 0, TC: 9, AC: 0               
RB: 0, SB: 0, TC: 9, AC: 4294967295               
RB: 0, SB: 0, TC: 10, AC: 0               
RB: 0, SB: 0, TC: 10, AC: 4294967295               
RB: 0, SB: 0, TC: 11, AC: 0               
RB: 0, SB: 0, TC: 11, AC: 4294967295               
RB: 0, SB: 0, TC: 12, AC: 0               
RB: 0, SB: 0, TC: 12, AC: 4294967295               
RB: 0, SB: 0, TC: 13, AC: 0               
RB: 0, SB: 0, TC: 13, AC: 4294967295               
RB: 0, SB: 0, TC: 14, AC: 0               
RB: 0, SB: 0, TC: 14, AC: 4294967295               
RB: 0, SB: 0, TC: 15, AC: 0               
RB: 0, SB: 0, TC: 15, AC: 4294967295               
RB: 0, SB: 0, TC: 16, AC: 0               
RB: 0, SB: 0, TC: 16, AC: 4294967295               
RB: 0, SB: 0, TC: 17, AC: 0               
RB: 0, SB: 0, TC: 17, AC: 4294967295               
RB: 0, SB: 0, TC: 18, AC: 0               
RB: 0, SB: 0, TC: 18, AC: 4294967295               
RB: 0, SB: 0, TC: 19, AC: 0               
RB: 0, SB: 0, TC: 19, AC: 4294967295               
RB: 0, SB: 0, TC: 20, AC: 0               
RB: 0, SB: 0, TC: 20, AC: 4294967295               
RB: 0, SB: 0, TC: 21, AC: 0               
RB: 0, SB: 0, TC: 21, AC: 4294967295               
RB: 0, SB: 0, TC: 22, AC: 0               
RB: 0, SB: 0, TC: 22, AC: 4294967295               
RB: 0, SB: 0, TC: 23, AC: 0               
RB: 0, SB: 0, TC: 23, AC: 4294967295               
RB: 0, SB: 0, TC: 24, AC: 0               
RB: 0, SB: 0, TC: 24, AC: 4294967295               
RB: 0, SB: 0, TC: 25, AC: 0               
RB: 0, SB: 0, TC: 25, AC: 4294967295               
RB: 0, SB: 0, TC: 26, AC: 0               
RB: 0, SB: 0, TC: 26, AC: 4294967295               
RB: 0, SB: 0, TC: 27, AC: 0               
RB: 0, SB: 0, TC: 27, AC: 4294967295               
RB: 0, SB: 0, TC: 28, AC: 0               
RB: 0, SB: 0, TC: 28, AC: 4294967295               
RB: 0, SB: 0, TC: 29, AC: 0               
RB: 0, SB: 0, TC: 29, AC: 4294967295               
RB: 0, SB: 0, TC: 30, AC: 0               
RB: 0, SB: 0, TC: 30, AC: 4294967295               
RB: 0, SB: 0, TC: 31, AC: 0               
RB: 0, SB: 0, TC: 31, AC: 4294967295               
RB: 0, SB: 0, TC: 32, AC: 0               
RB: 0, SB: 0, TC: 32, AC: 4294967295               
RB: 0, SB: 0, TC: 33, AC: 0               
RB: 0, SB: 0, TC: 33, AC: 4294967295               
RB: 0, SB: 0, TC: 34, AC: 0               
RB: 0, SB: 0, TC: 34, AC: 4294967295               
RB: 0, SB: 0, TC: 35, AC: 0               
RB: 0, SB: 0, TC: 35, AC: 4294967295               
RB: 0, SB: 0, TC: 36, AC: 0               
RB: 0, SB: 0, TC: 36, AC: 4294967295               
RB: 0, SB: 0, TC: 37, AC: 0               
RB: 0, SB: 0, TC: 37, AC: 4294967295               
RB: 0, SB: 0, TC: 38, AC: 0               
RB: 0, SB: 0, TC: 38, AC: 4294967295               
RB: 0, SB: 0, TC: 39, AC: 0               
RB: 0, SB: 0, TC: 39, AC: 4294967295               
RB: 0, SB: 0, TC: 40, AC: 0               
RB: 0, SB: 0, TC: 40, AC: 4294967295               
RB: 0, SB: 0, TC: 41, AC: 0               
RB: 0, SB: 0, TC: 41, AC: 4294967295               
RB: 0, SB: 0, TC: 42, AC: 0               
RB: 0, SB: 0, TC: 42, AC: 4294967295               
RB: 0, SB: 0, TC: 43, AC: 0               
RB: 0, SB: 0, TC: 43, AC: 4294967295               
RB: 0, SB: 0, TC: 44, AC: 0               
RB: 0, SB: 0, TC: 44, AC: 4294967295               
RB: 0, SB: 0, TC: 45, AC: 0               
RB: 0, SB: 0, TC: 45, AC: 4294967295               
RB: 0, SB: 0, TC: 46, AC: 0               
RB: 0, SB: 0, TC: 46, AC: 4294967295               
RB: 0, SB: 0, TC: 47, AC: 0               
RB: 0, SB: 0, TC: 47, AC: 4294967295               
RB: 0, SB: 0, TC: 48, AC: 0               
RB: 0, SB: 0, TC: 48, AC: 4294967295               
RB: 0, SB: 0, TC: 49, AC: 0               
RB: 0, SB: 0, TC: 49, AC: 4294967295               
RB: 0, SB: 0, TC: 50, AC: 0               
RB: 0, SB: 0, TC: 50, AC: 4294967295               
RB: 0, SB: 0, TC: 51, AC: 0               
RB: 0, SB: 0, TC: 51, AC: 4294967295               
RB: 0, SB: 0, TC: 52, AC: 0               
RB: 0, SB: 0, TC: 52, AC: 4294967295               
RB: 0, SB: 0, TC: 53, AC: 0               
RB: 0, SB: 0, TC: 53, AC: 4294967295               
RB: 0, SB: 0, TC: 54, AC: 0               
RB: 0, SB: 0, TC: 54, AC: 4294967295               
RB: 0, SB: 0, TC: 55, AC: 0               
RB: 0, SB: 0, TC: 55, AC: 4294967295               
RB: 0, SB: 0, TC: 56, AC: 0               
RB: 0, SB: 0, TC: 56, AC: 4294967295               
RB: 0, SB: 0, TC: 57, AC: 0               
RB: 0, SB: 0, TC: 57, AC: 4294967295               
RB: 0, SB: 0, TC: 58, AC: 0               
RB: 0, SB: 0, TC: 58, AC: 4294967295               
RB: 0, SB: 0, TC: 59, AC: 0               
RB: 0, SB: 0, TC: 59, AC: 4294967295               
RB: 0, SB: 0, TC: 60, AC: 0               
RB: 0, SB: 0, TC: 60, AC: 4294967295               
RB: 0, SB: 0, TC: 61, AC: 0               
RB: 0, SB: 0, TC: 61, AC: 4294967295               
RB: 0, SB: 0, TC: 62, AC: 0               
RB: 0, SB: 0, TC: 62, AC: 4294967295               
RB: 0, SB: 0, TC: 63, AC: 0               
RB: 0, SB: 0, TC: 63, AC: 4294967295               
RB: 0, SB: 0, TC: 64, AC: 0               
RB: 0, SB: 0, TC: 64, AC: 4294967295               
RB: 0, SB: 0, TC: 65, AC: 0               
RB: 0, SB: 0, TC: 65, AC: 4294967295               
RB: 0, SB: 0, TC: 66, AC: 0               
RB: 0, SB: 0, TC: 66, AC: 4294967295               
RB: 0, SB: 0, TC: 67, AC: 0               
RB: 0, SB: 0, TC: 67, AC: 4294967295               
RB: 0, SB: 0, TC: 68, AC: 0               
RB: 0, SB: 0, TC: 68, AC: 4294967295               
RB: 0, SB: 0, TC: 69, AC: 0               
RB: 0, SB: 0, TC: 69, AC: 4294967295               
RB: 0, SB: 0, TC: 70, AC: 0               
RB: 0, SB: 0, TC: 70, AC: 4294967295               
RB: 0, SB: 0, TC: 71, AC: 0               
RB: 0, SB: 0, TC: 71, AC: 4294967295               
RB: 0, SB: 0, TC: 72, AC: 0               
RB: 0, SB: 0, TC: 72, AC: 4294967295               
RB: 0, SB: 0, TC: 73, AC: 0               
RB: 0, SB: 0, TC: 73, AC: 4294967295               
RB: 0, SB: 0, TC: 74, AC: 0               
RB: 0, SB: 0, TC: 74, AC: 4294967295               
RB: 0, SB: 0, TC: 75, AC: 0               
RB: 0, SB: 0, TC: 75, AC: 4294967295               
RB: 0, SB: 0, TC: 76, AC: 0               
RB: 0, SB: 0, TC: 76, AC: 4294967295               
RB: 0, SB: 0, TC: 77, AC: 0               
RB: 0, SB: 0, TC: 77, AC: 4294967295               
